ACADEMIC CALENDAR ( 2019 - 2020),,,,,,,
June  - 2019,,,,,,,
Date,Day,H/W,"Hr.sem
UG & PG",I UG,"I
Integrat ed",I PG,Specifications
24,Tue,W,,CD 71,CD 71,CD 71,End Sem for higher semesters UG & PG
25,Wed,H,H,H,H,H,Ugadi
26,Thu,W,,CD 72,CD 72,CD 72,End Sem for higher semesters UG & PG / Missed Periodical for II Sem UG & PG
27,Fri,W,,CD 73,CD 73,CD 73,End Sem for higher semesters UG & PG / Missed Periodical for II Sem UG & PG
28,Sat,W,,CD 74,CD 74,CD 74,"End Sem for higher semesters UG & PG / Missed Periodical for II Sem UG & PG
Tuesday Timetable"
29,Sun,H,H,H,H,H,
30,Mon,W,,CD 75,CD 75,CD 75,End Sem for higher semesters UG & PG / Missed Periodical for II Sem UG & PG
31,Tue,W,,CD 76,CD 76,CD 76,End Sem for higher semesters UG & PG / Missed Periodical for II Sem UG & PG
April - 2020,,,,,,,
1,Wed,W,,CD 77,CD 77,CD 77,
2,Thu,W,,CD 78,CD 78,CD 78,
3,Fri,W,,CD 79,CD 79,CD 79,
4,Sat,W,,CD 80,CD 80,CD 80,Wednesday  Timetable
5,Sun,H,H,H,H,H,
6,Mon,W,,CD 81,CD 81,CD 81,
7,Tue,W,,CD 82,CD 82,CD 82,
8,Wed,W,,CD 83,CD 83,CD 83,
9,Thu,W,,CD 84,CD 84,CD 84,
10,Fri,H,H,H,H,H,GOOD Friday
11,Sat,H,H,H,H,H,
12,Sun,H,H,H,H,H,
13,Mon,H,H,H,H,H,
14,Tue,H,H,H,H,H,Tamil New year
15,Wed,W,,CD 85,CD 85,CD 85,
16,Thu,W,,CD 86,CD 86,CD 86,
17,Fri,W,,CD 87,CD 87,CD 87,
18,Sat,W,,CD 88,CD 88,CD 88,Thursday Timetable
19,Sun,H,H,H,H,H,
20,Mon,W,,CD 89,CD 89,CD 89,
21,Tue,W,,CD 90,CD 90,CD 90,Last Instruction Day
22,Wed,W,,,,,End Sem for II Sem UG & PG
23,Thu,W,,,,,End Sem for II Sem UG & PG
24,Fri,W,,,,,End Sem for II Sem UG & PG
25,Sat,W,,,,,End Sem for II Sem UG & PG / Friday Timetable
26,Sun,H,H,H,H,H,
27,Mon,W,,,,,End Sem for II Sem UG & PG
28,Tue,W,,,,,End Sem for II Sem UG & PG
29,Wed,W,,,,,End Sem for II Sem UG & PG
30,Thu,W,,,,,End Sem for II Sem UG & PG
May - 2020,,,,,,,
1,Fri,H,H,H,H,H,May Day
2,Sat,H,H,H,H,H,
3,Sun,H,H,H,H,H,
4,Mon,V,,,,,
5,Tue,V,,,,,
6,Wed,V,,,,,
7,Thu,V,,,,,
8,Fri,V,,,,,
9,Sat,H,H,H,H,H,
10,Sun,H,H,H,H,H,
11,Mon,V,,,,,
12,Tue,V,,,,,
13,Wed,V,,,,,
14,Thu,V,,,,,
15,Fri,V,,,,,
16,Sat,H,H,H,H,H,
17,Sun,H,H,H,H,H,
18,Mon,V,,,,,
19,Tue,V,,,,,
20,Wed,V,,,,,
21,Thu,V,,,,,
22,Fri,V,,,,,
23,Sat,H,H,H,H,H,
24,Sun,H,H,H,H,H,
25,Mon,V,,,,,
26,Tue,V,,,,,
27,Wed,V,,,,,
28,Thu,V,,,,,
29,Fri,V,,,,,
30,Sat,H,H,H,H,H,
31,Sun,H,H,H,H,H,
"Legend
H: Holiday for staff and students W - Working Day for Staff  ;
CD: Working day for staff and Students ; V - Vacation period for Faculty & Students",,,,,,,
